Nhóm câu hỏi (Intent),Câu hỏi đại diện,Các biến thể câu hỏi trong nhóm,Câu trả lời,File đính kèm
Học thử,Bên mình có học thử/demo không ạ?,"- Có cho học thử ko e
- Dạ cho em hỏi mình có được học thử trước không ạ
- Em có thể dki học thử buổi nào không ạ
- Bên b có cho học thử hong
- Em được biết đến cô thông qua một chiếc video trên tiktok, không biết bên lớp off của cô còn slot học thử k ạ.","Hiện tại đối với lớp mới chưa khai giảng thì tụi mình chưa có lớp để bạn học thử nè. Tuy nhiên mình sẽ gửi bạn video record của GV dạy lớp online, nó hem khác gì buổi học thử luôn ạ. (...) cứ dành thời gian xem record thật kỹ để hiểu về cách dạy của GV có phù hợp với mình hemm","Hông biết là bạn có đang quan tâm đến lớp của GV nào hông nè, để tụi mình gửi record cho bạn tham khảo nhaann"
Quy trình ghi danh,Em có cần kiểm tra đầu vào/xếp lớp không ạ?,,"Trước khi ghi danh lớp thì tụi mình sẽ xin bạn tầm 15 phút để hoàn thành form tư vấn nè để tụi mình nắm được ngữ pháp và level tiếng Anh của bạn đang ở mức nào á. Có gì bạn giúp mình dành VỎN VẸN 15 phút để làm form này nhaaaa. 

Sau khi điền xong bạn vui lòng nhắn lại EMAIL đã điền form để tụi mình check cho bạn liền nha ạ 🥰

https://forms.gle/2TpDaYTAGaEMXyKN8
",Hình quy trình ghi danh lớp
Nội quy lớp,Nếu bận/vắng thì có dược học bù không ạ?,"- Nếu nghỉ học buổi nào thì cần báo trước và dạy bù không ạ
- Nếu mà nghỉ học thì có được học bù không ạ
- Nếu có buổi học mà e bận thì có đc học bù ko ạ","Chời ơi, đi học đi đừng có nghỉ mà. Đi học gặp bạn bè, giáo viên dễ thương, học hiệu quả hơn đó. Nhưng lỡ ""hoạ hoằn"" lắm phải nghỉ thì tiếc là SwH không có chính sách học bù nhưng tụi mình sẽ cấp video record buổi học ngày hôm đó (Đối với lớp off thì mình sẽ gửi video record từ lớp online tương ứng với buổi học hôm đó nè). 

Nhưng lưu ý nòo: một tháng mình chỉ được nghỉ tối đa 2 buổi thôi, nếu nghỉ trong 2 buổi đó thì tụi mình sẽ cấp video record cho bạn nhưng nếu từ buổi thứ 3 trở lên, mình xin phép hăm cấp được video record nè :<<

Mà nói trước là xin nghỉ với tụi tui khó lắm nhan, Giáo viên thường không cho trừ khi lý do chính đáng lắm chứ mà nghỉ học đi chơi, đi biển, đi sinh nhật,... thì hăm cho đâu ~~",
Nội quy lớp,Bên mình có chính sách bảo lưu?,"- Còn nếu mà trong quá trình học mà cảm thấy không hợp thì hong hoàn tiền đúng hong ạ?
- Nếu như mà trong quá trình học mà cảm thấy ko hiệu quả thì có được hoàn tiền ko ạ
","Hiện tại bên mình không có chính sách bảo lưu khóa học ạ. Các lớp sẽ được khai giảng liên tục trong năm, nên nếu thời gian này bạn đang bận thì có thể sắp xếp lại lịch và đăng ký tham gia vào lớp tiếp theo khi phù hợp với thời gian của mình hơn nè.

Ngoài ra, tụi mình sẽ hong thể hoàn lại fee với bất cứ trường hợp nghỉ ngang nào nên trước khi đăng ký lớp học thì tụi mình sẽ gửi cho (...) video record của GV mà (...) đăng ký lớp để xem nên bạn xem kỹ kỹ để xem thử cách dạy của GV có phù hợp với mình hem, nếu phù hợp mới đăng ký tại vì GV sẽ đồng hành với mình trong suốt mấy tháng lận nhan",
Nội quy lớp,Mình đăng ký lớp rồi sau đó mình chuyển lớp khác được không ạ?,"- Dạ mình đăng ký lớp Online rồi thì sau đó có thể chuyển qua lớp Offline được không ạ
- Dạ mình đăng ký lớp Offline rồi thì sau đó có thể chuyển qua lớp Online được không ạ","Trong trường hợp lớp mình đăng ký chưa khai giảng và kèm lý do thích hợp thì tụi mình có thể hỗ trợ bạn chuyển sang lớp khác nếu còn slot nẹ. 

Tuy nhiên nếu lớp đã khai giảng thì bên mình sẽ hong hỗ trợ bạn được do mỗi lớp sẽ có lịch khai giảng khác nhau dẫn đến nội dung học của từng lớp cũng sẽ có sự chênh lệch nên tụi mình sẽ hong thể chuyển lớp cho bạn được nè mhuuumhuuuuu 🥺
",
Nội quy lớp,Sau buổi học có record không ạ?,,"Bên mình chỉ cung video record cho học viên nghỉ với lý do bất khả kháng thui nè (rule nho nhỏ là mỗi học viên chỉ được nghỉ tối đa 2 buổi/ tháng mới được cấp video, còn nếu nghỉ hơn thì hong có được cấp nữa nò). Đi học mò có video record là trong giờ dễ mất tập trung lắm nhennn, mà học như vậy là hỏng có hiệu quả ròi :<",
Nội quy lớp,"Lớp off thì có bài record không ạ
",,"Dạ nếu bạn học Offline mà nghỉ thì mình sẽ cấp video record của buổi học Online tương ứng, tuy nhiên flow đi bài của lớp Offline sẽ hơi khác so với lớp Online một xíu nên cứ đi học đủ đi tình iu ơi, đừng có nghỉ học mà.",
Thông tin lớp,- Mình có tài liệu khoá học không ạ?,,"Đầu khoá học, tụi mình sẽ gửi trước cho các bạn slides bài giảng và sheet từ vựng liên quan đến khoá học nè. Nên tụi mình có thể vào để xem bài trước, được thì mình in ra luôn để sau này vô lớp mình chỉ cần take note lên đó lun ạ, hổng cần tốn thời gian chép lại slides nà. ",
Toeic/Ielts/Chứng chỉ,- Bên bạn có nhận dạy TOEIC/IELTS không ạ?,,"Hiện tại thì tụi mình chỉ đang có 3 lộ trình như sau thui: 

- Lớp ngữ pháp cơ bản (phù hợp với những bạn mất gốc TA)
- Lớp chuyên sâu phát âm (phù hợp với các bạn đã có tiếp xúc với TA và muốn cải thiên PA & ngữ điệu) 
- Lớp Phát âm và Giao tiếp  (phù hợp với các bạn đã có nền tiếng Ah cơ bản)

Những khoá học này sẽ ở level cơ bản, và tập trung và mỗi khoá học sẽ tập trung vào 1 kỹ năng nhất định thui nè, hoặc Speaking hoặc Writing nò, chứ không bao gồm hết 4 kỹ năng để thi chứng chỉ á (...) uiii",
Ưu đãi/Mã giảm giá,Hiện có ưu đãi/giảm giá nào không ạ?,"- SwH hiện có chính sách ưu đãi nào
- E gth thêm bạn học thì có đc ưu đãi gì khom ạ
- có ưu đãi cho học sinh sinh viên gì k chị
- Lớp này kh có ưu đãi đúng kh ạ
- Tụi mình dk có ưu đãi gì ko
- Dạ đk hai bạn thì có khuyến mãi nào nữa ko ạ
- Bên mình có chương trình ưu đãi cho các khoa học không ạ
- Dạ thì không biết hiện giờ có chính sách ưu đãi gì k ạ","Hiện tại, SwH đang có chương trình Buy ""Học sinh thân iu"" a cup of coffee ☕️  với thông tin như sau:  
*Áp dụng cho tất cả các lớp:
- Giảm 50k đối với những bạn học sinh cũ đăng ký học tiếp.
- Affiliate 50k cho học viên cũ khi giới thiệu bạn.
* Chỉ áp dụng đối với những lớp không có mức học phí ưu đãi:
- Giảm 50k/người khi có bạn học cùng.
- Giảm 50k đối với những bạn học lớp OFF có nhà xa hơn 10km.",Hình chính sách ưu đãi
Tuyển dụng,Bên mình còn tuyển Trợ giảng không ạ,,"Hiện tại thì tụi mình vẫn đang tìm kiếm Trợ giảng về team nè. Mình gửi JD vị trí TA để bạn tham khảo thêm nhé ạ!!!
https://lnk.ink/JobDescriptionTA-SwH 
",
Thông tin lớp,Không biết lớp Offline và Online có sự khác biệt nào vậy ạ?,Lớp Online và lớp Offline có gì khác nhau?,"Dạ lớp OFF và lớp ONL thì chỉ khác nhau ở hình thức học, số lượng học viên thui còn lộ trình học sẽ giống nhau nhan. Chỉ khác là lớp OFF thì mình sẽ tương tác trực tiếp với GV và các bạn học viên khác. Nếu bạn ở gần Quận 3 TPHCM thì có thể đăng ký học lớp OFF nhan.

Mình gửi bạn một số feedback của học viên lớp ONL và OFF để bạn tham khảo qua nhannn. 🥰
- ONLP2: https://www.facebook.com/share/p/1EtaWsf9nA/ 
- OFFH5: https://www.facebook.com/share/p/1ZdexjfT5k/ ",
Thông tin lớp,Mình có thể đăng kí học song song lớp Ngữ pháp  + Phát âm & Giao tiếp không ạ?,,"Tụi mình recommend là bạn chỉ nên học 1 khoá 1 lần thui vì tính chất các lớp bên tụi mình sẽ rất là khác, Giáo viên, trợ giảng dí bài tập liên tục và mỗi buổi học cũng có nhiều dạng bài tập khác nhau nữa. Nếu bạn vừa đi học, đi làm và còn tham gia 2 khoá học bên mình nữa thì sẽ đuối lắm và không đảm bảo được chất lượng khi học vì để ""thấm nhuần"" những kiến thức ở khoá học, mình phải dành đủ thời gian cho nó đúng hăm nè? 

Zạy chớ mà có nhiều anh chị em học viên bên mình học có 1 khoá 1 lần thôi mà cũng đã thấy khoá có nhìu bài tặp lắm còn bị dí bài liên tục tới khi làm thì thôi nên là bạn cân nhắc học khoá này xong ròi tới khoá khác để đỡ bị dí 2 lần bởi 2 giáo viên bên tụi tui nhan.",
Thông tin lớp,"Lịch khai giảng của các lớp bên mình có đúng với lịch dự kiến ban đầu hong ạ, và nếu có thay đổi thì thường sẽ chênh lệch khoảng bao lâu ạ?",,"Đối với các lớp đang mở ghi danh thì thông thường lịch khai giảng chính thức sẽ trùng với lịch dự kiến mà bên mình đã đăng. Tuy nhiên trong một vài trường hợp bất khả kháng, thì lịch khai giảng chính thức có thể chênh lệch một xíu so với lịch khai giảng dự kiến nhưng chỉ chênh lệch tối đa 1-2 tuần thui nhé ạ.",
"Thông tin lớp, Phát âm & Giao tiếp cơ bản, Ngữ pháp căn bản",Lớp Phát âm & Giao tiếp cơ bản có dạy ngữ pháp không?,,"Lớp Phát âm & Giao tiếp cơ bản bên tụi mình sẽ hăm có dạy về ngữ pháp vì đầu vào tụi mình sẽ yêu cầu các bạn có ngữ pháp căn bản rồi. Hơn nữa, việc học Phát âm giao tiếp, tụi mình mong muốn sẽ giúp các bạn mạnh dạn hơn khi nói và không còn sợ sai nữa. Nếu như bạn muốn đăng ký học Phát âm & Giao tiếp mà vẫn muốn học ngữ pháp, có thể tự học thêm ở nhà nhon. ",
"Quy trình ghi danh, Học phí",Học phí bên SpeakwithHang sẽ đóng như thế nào?,,Đối với các lớp đang nhận ghi danh thì tụi mình đang nhận cọc 1 chẹo để giữ slot nè. Và đến khi gần full danh sách lớp hoặc 2 tuần trước ngày khai giảng thì tụi mình sẽ nhận full fee còn lại nè,
Thông tin lớp,Tại sao các lớp/giáo viên lại có các mức học phí khác nhau,,"Học phí có sự khác nhau là do số lượng học viên, hình thức học và ngoài ra một số lớp sẽ có mức học phí ưu đãi do bên chị đang áp dụng cho lớp đầu tiên của giáo viên nè. Tuy nhiên về lộ trình học thì các lớp sẽ giống nhau và các giáo viên cũng được một tay Founder Thanh Hằng Ngô train và đánh giá ròi nên về chất lượng lớp sẽ được đảm bảo nhon 🥰",
Nhu cầu tư vấn,Học xong lớp ngữ pháp là viết được một câu hoàn chỉnh đúng không ạ?,,"Trên lớp tụi mình sẽ có các dạng bài tập như dịch từ, dịch câu với ngữ cảnh tự nhiên và viết đoạn văn. Nên nếu tụi mình đi học đầy đủ và làm & chữa bài tập nghiêm túc thì sau khoá học tụi mình có thể viết được những câu cản bản đúng ngữ pháp nhannnnn. ",
"Toeic/Ielts/Chứng chỉ, Thông tin lớp",Học xong khoá ngữ pháp thì có thể thi TOEIC và IELTS được không ạ?,,"Hiện tại các khoá học của tụi mình tính chất sẽ khác với các đề thi TOEIC hoặc IELTS nè. Lớp ngữ pháp sẽ giúp cho bạn nắm vững lại những điểm ngữ pháp cơ bản nhất trong tiếng Anh như về từ loại, thì, và các dạng câu điều kiện, bị động, so sánh,... Nói chung là lớp của tụi mình siêu căn bản, nó sẽ bổ trợ một phần nhỏ cho các bài thi thui. Nên nếu bạn muốn thi Ielts hay Toeic thì cần nghiên cứu về dạng đề và chủ điểm từ vựng của các dạng đó nữa é. ",
Bài tập/Chăm sóc học sinh,Trong khoá học mình có được sửa bài kỹ không ạ?,Trong quá trình học sẽ được hỗ trợ ra sao ạ?,"
Cũng hong biết nói sao chứ học sinh bên tụi mình bị dí bài tập thường xuyên luôn =)))), nộp trễ là dí, không nộp là dí đến khi nào nộp thì thôi. 

Mình gửi bạn một xíuu dạng tập của lớp:

Đối với lớp Phát âm, Giao tiếp thì trong khóa học sẽ có 2 dạng bài tập chính để giúp mình luyện tập thường xuyên nè.

Thứ nhất là Mini task, bao gồm các bài tập nhỏ như ghi âm, vẽ mindmap, chép chính tả, shadowing,... Những bài này sẽ được sửa chung trên lớp hoặc giáo viên/trợ giảng gửi nhận xét vào nhóm lớp hoặc cho từng cá nhân.

Thứ hai là bài tập lớn hằng tuần – Short Clip. Nếu học viên nộp bài đúng hạn thì sẽ được sửa bài 1–1 với giáo viên hoặc trợ giảng. Còn nếu nộp trễ hạn thì tối đa được trễ 4 lần trong suốt khóa học và bài sẽ được sửa qua video. Từ lần trễ thứ 5 trở đi thì bài nộp trễ sẽ không được chấm và sửa nữa ạ.

Đối với lớp Ngữ pháp thì mình sẽ có các dạng bài tập như sau:
- Bài tập về nhà:
+ GG Form: sau mỗi buổi học mình sẽ có 1 bài GG Form và với bài này thì mình sẽ được gửi kết quả qua Gmail + giáo viên sẽ gửi giải thích chi tiết về lỗi sai qua group Zalo/ giảng trước lớp
+ Ngoài ra thì mình sẽ có các bài tập nhỏ như chép chính tả, dịch câu, daily dictation, tìm lỗi sai, ... sẽ được chấm sửa và gửi vào group Zalo
- Bài tập trên lớp: Trong quá trình học mình sẽ có các bài tập đặt/ dịch câu để thực hành ngay các kiến thức vừa học và được sửa lỗi ngay trong giờ luôn nhan.

",
